55,"[array([[0.91482574, 0.92007423, 0.93330801, ..., 0.93764555, 0.92755673,
        0.91158225],
       [0.93171584, 0.93764555, 0.92401575, ..., 0.91623831, 0.92910196,
        0.92153956],
       [0.91814348, 0.93491867, 0.93819747, ..., 0.92755673, 0.91910561,
        0.93014165],
       ...,
       [0.93384282, 0.90269187, 0.92755673, ..., 0.93709584, 0.93384282,
        0.9230201 ],
       [0.93930803, 0.91910561, 0.91623831, ..., 0.93330801, 0.9230201 ,
        0.94099097],
       [0.92104945, 0.90976071, 0.92153956, ..., 0.95033803, 0.9195891 ,
        0.93066441]]), '1']"
57,"[array([[0.9270454 , 0.91766482, 0.93277526, ..., 0.91342681, 0.90796151,
        0.9270454 ],
       [0.92910196, 0.93545975, 0.94042768, ..., 0.94099097, 0.9270454 ,
        0.91671225],
       [0.92203137, 0.93545975, 0.9270454 , ..., 0.91623831, 0.91718775,
        0.91158225],
       ...,
       [0.94500077, 0.90442768, 0.91862374, ..., 0.92653593, 0.92962084,
        0.92910196],
       [0.93930803, 0.91623831, 0.89885858, ..., 0.91623831, 0.93384282,
        0.93330801],
       [0.91576592, 0.92755673, 0.91204121, ..., 0.93014165, 0.92602829,
        0.9546423 ]]), '1']"
63,"[array([[0.92351705, 0.93819747, 0.92153956, ..., 0.92962084, 0.9018315 ,
        0.91529507],
       [0.92755673, 0.91389162, 0.92351705, ..., 0.92351705, 0.93491867,
        0.93930803],
       [0.93171584, 0.93654831, 0.92552246, ..., 0.93930803, 0.91671225,
        0.92401575],
       ...,
       [0.92552246, 0.93930803, 0.92104945, ..., 0.92806992, 0.92104945,
        0.94326773],
       [0.92858499, 0.93764555, 0.92501844, ..., 0.93330801, 0.92056101,
        0.92653593],
       [0.92351705, 0.93066441, 0.93014165, ..., 0.92602829, 0.92501844,
        0.93171584]]), '1']"
64,"[array([[0.94212458, 0.92401575, 0.93600296, ..., 0.92806992, 0.93224454,
        0.91814348],
       [0.92962084, 0.93171584, 0.93171584, ..., 0.92252487, 0.93066441,
        0.93066441],
       [0.93330801, 0.93654831, 0.92653593, ..., 0.94558342, 0.92401575,
        0.91910561],
       ...,
       [0.92602829, 0.90442768, 0.91529507, ..., 0.91718775, 0.95974031,
        0.93118913],
       [0.92755673, 0.89927969, 0.90840925, ..., 0.92552246, 0.91862374,
        0.94913344],
       [0.9343797 , 0.92203137, 0.93600296, ..., 0.92501844, 0.92806992,
        0.93330801]]), '1']"
65,"[array([[0.94442062, 0.93118913, 0.9343797 , ..., 0.90930884, 0.92252487,
        0.92552246],
       [0.90618404, 0.93066441, 0.93066441, ..., 0.94558342, 0.94155659,
        0.92451621],
       [0.93819747, 0.92602829, 0.93491867, ..., 0.94099097, 0.92252487,
        0.91529507],
       ...,
       [0.93171584, 0.89760229, 0.91718775, ..., 0.93491867, 0.92602829,
        0.93224454],
       [0.93066441, 0.91482574, 0.90618404, ..., 0.94042768, 0.93330801,
        0.94442062],
       [0.91623831, 0.92501844, 0.92962084, ..., 0.93986671, 0.9195891 ,
        0.9343797 ]]), '1']"
67,"[array([[0.9343797 , 0.92401575, 0.92451621, ..., 0.92401575, 0.92401575,
        0.91250161],
       [0.91342681, 0.93066441, 0.93384282, ..., 0.93066441, 0.92806992,
        0.91814348],
       [0.92552246, 0.93764555, 0.90355724, ..., 0.91576592, 0.9270454 ,
        0.92858499],
       ...,
       [0.93224454, 0.91158225, 0.92056101, ..., 0.92007423, 0.92962084,
        0.93545975],
       [0.93171584, 0.94442062, 0.93384282, ..., 0.92755673, 0.94155659,
        0.9343797 ],
       [0.91814348, 0.93066441, 0.94155659, ..., 0.93171584, 0.9195891 ,
        0.91671225]]), '3']"
70,"[array([[0.93986671, 0.92252487, 0.91910561, ..., 0.91718775, 0.92056101,
        0.91250161],
       [0.92401575, 0.94212458, 0.93986671, ..., 0.92653593, 0.92351705,
        0.92351705],
       [0.93224454, 0.92501844, 0.93277526, ..., 0.93330801, 0.9343797 ,
        0.92007423],
       ...,
       [0.93066441, 0.92451621, 0.90796151, ..., 0.92153956, 0.93066441,
        0.93709584],
       [0.92203137, 0.91766482, 0.9018315 , ..., 0.93330801, 0.93330801,
        0.91862374],
       [0.92755673, 0.93014165, 0.93819747, ..., 0.92962084, 0.91435793,
        0.94326773]]), '1']"
72,"[array([[0.93014165, 0.91021397, 0.92351705, ..., 0.91910561, 0.91482574,
        0.92653593],
       [0.9195891 , 0.92153956, 0.92858499, ..., 0.93171584, 0.91204121,
        0.90140316],
       [0.92806992, 0.91671225, 0.92401575, ..., 0.91814348, 0.93600296,
        0.92962084],
       ...,
       [0.92501844, 0.92806992, 0.91766482, ..., 0.92910196, 0.91623831,
        0.94675636],
       [0.93491867, 0.91021397, 0.92401575, ..., 0.9270454 , 0.93600296,
        0.93014165],
       [0.9195891 , 0.93930803, 0.92153956, ..., 0.9343797 , 0.91766482,
        0.93986671]]), '3']"
76,"[array([[0.92401575, 0.92351705, 0.93930803, ..., 0.93709584, 0.92501844,
        0.9195891 ],
       [0.91766482, 0.93819747, 0.92104945, ..., 0.92153956, 0.92910196,
        0.92858499],
       [0.91021397, 0.94155659, 0.93654831, ..., 0.9270454 , 0.92806992,
        0.91766482],
       ...,
       [0.93118913, 0.91482574, 0.91296348, ..., 0.9270454 , 0.92653593,
        0.93118913],
       [0.91112473, 0.90355724, 0.89718584, ..., 0.93600296, 0.91718775,
        0.93330801],
       [0.93384282, 0.92351705, 0.93986671, ..., 0.9195891 , 0.90930884,
        0.92858499]]), '1']"
78,"[array([[0.93224454, 0.93224454, 0.91576592, ..., 0.91576592, 0.89677054,
        0.92252487],
       [0.95094444, 0.92910196, 0.95155362, ..., 0.93545975, 0.91576592,
        0.92910196],
       [0.92755673, 0.93014165, 0.93330801, ..., 0.93654831, 0.92806992,
        0.91066864],
       ...,
       [0.92602829, 0.91250161, 0.90930884, ..., 0.93600296, 0.93600296,
        0.93819747],
       [0.93224454, 0.90796151, 0.93277526, ..., 0.92552246, 0.9343797 ,
        0.93171584],
       [0.93277526, 0.93224454, 0.90796151, ..., 0.92806992, 0.91066864,
        0.9230201 ]]), '2']"
